Model,Hidden,Conv1,Conv2,Dense,LR,Patience,R2,RMSE,rRMSE(%),MAE
BPNN,32.0,,,,0.0001,30,-48.5216400629243,32.6834244409735,98.97240082449886,32.344003790644585
CNN,,32.0,16.0,64.0,0.0001,30,-48.57343683342882,32.70051245942863,99.02414699983896,32.36669111592166
CNN,,16.0,64.0,16.0,0.0001,30,-48.613183393865064,32.713618999543804,99.06383640705037,32.37815989802281
CNN,,32.0,16.0,32.0,0.0001,30,-48.63005491603398,32.71918084415868,99.08067886233044,32.383496808631676
CNN,,32.0,32.0,16.0,0.0001,20,-48.698621593815496,32.741774726108346,99.1490979701428,32.410521910391715
CNN,,32.0,16.0,64.0,0.0001,20,-48.71888932933516,32.74845030348646,99.16931304647896,32.41735739956913
CNN,,16.0,64.0,16.0,0.0001,20,-48.8193760601845,32.781527506985945,99.26947789452962,32.44940136031175
CNN,,8.0,32.0,64.0,0.0001,20,-48.82410152410401,32.783082165680575,99.27418573362854,32.45347826486385
CNN,,8.0,64.0,32.0,0.0001,20,-48.84033601422609,32.78842268623717,99.29035797231465,32.45866126306508
CNN,,16.0,16.0,64.0,0.0001,30,-48.95294511458412,32.82544281742181,99.40246284886449,32.49247888271762
CNN,,32.0,16.0,32.0,0.0001,20,-48.966442686718565,32.82987732929801,99.41589149945356,32.49945820530746
CNN,,8.0,64.0,32.0,0.0001,30,-48.98181195359506,32.83492604123896,99.43118007922799,32.50456814789845
BPNN,16.0,,,,0.0001,20,-49.02372746988813,32.8486910929599,99.47286360045007,32.51592948375109
BPNN,16.0,,,,0.0001,30,-49.02546098126555,32.84926025372924,99.47458714101413,32.521014054999554
CNN,,16.0,32.0,32.0,0.0001,20,-49.070489664811085,32.864040989498356,99.51934637080853,32.53326855817572
CNN,,16.0,16.0,64.0,0.0001,20,-49.12321856705693,32.881340888440945,99.57173416559002,32.55143524829007
CNN,,8.0,32.0,64.0,0.0001,30,-49.2986582459853,32.93883572836106,99.74584084012747,32.6090294519447
CNN,,16.0,32.0,32.0,0.0001,30,-49.3474708109274,32.954814675136625,99.79422850916994,32.62441885853838
CNN,,8.0,64.0,16.0,0.0001,20,-49.375511003021316,32.963990217571514,99.82201401448893,32.63284161860131
CNN,,8.0,64.0,16.0,0.0001,30,-49.42827942838908,32.98125061394489,99.87428218704045,32.65397723198489
CNN,,8.0,16.0,64.0,0.0001,20,-49.43426205493246,32.983206943367314,99.88020637102831,32.653371600579824
CNN,,8.0,16.0,64.0,0.0001,30,-49.439995038282795,32.9850815301582,99.8858830208415,32.65459231294906
CNN,,16.0,16.0,16.0,0.0001,20,-49.46430048512184,32.99302780957098,99.90994605476642,32.66461202965229
CNN,,16.0,32.0,16.0,0.0001,30,-49.49004856753648,33.001443648678446,99.93543101589474,32.674762206527674
CNN,,16.0,16.0,32.0,0.0001,20,-49.50301661951935,33.0056814833847,99.94826408594015,32.676423756988264
BPNN,8.0,,,,0.0001,30,-49.56684794832481,33.02653302223942,100.01140700614009,32.70006686137077
BPNN,8.0,,,,0.0001,20,-49.587210664130005,33.03318206448529,100.03154172841944,32.702558776819814
CNN,,8.0,16.0,32.0,0.0001,30,-49.59233900979659,33.03485641340331,100.03661201511886,32.70531397428241
CNN,,16.0,32.0,16.0,0.0001,20,-49.595996008855906,33.036050331871536,100.04022745564292,32.70791219587633
CNN,,32.0,16.0,16.0,0.0001,30,-49.744058028138504,33.08435268232709,100.18649730563023,32.755008780953204
CNN,,8.0,32.0,32.0,0.0001,20,-49.74646108930433,33.08513605268596,100.18886951865498,32.75585761174958
CNN,,16.0,16.0,16.0,0.0001,30,-49.752956167032956,33.08725328066749,100.19528093789908,32.76051010068031
CNN,,8.0,16.0,32.0,0.0001,20,-49.77589233828485,33.094728797806,100.21791840295234,32.7688460572021
CNN,,32.0,16.0,16.0,0.0001,20,-49.79887597877944,33.102218093001355,100.2405975909091,32.77512615083606
CNN,,16.0,16.0,32.0,0.0001,30,-49.8588172879932,33.12174219933659,100.29972076147654,32.793341819380906
CNN,,8.0,32.0,32.0,0.0001,30,-49.8743893103568,33.12681244146774,100.3150745392726,32.79892555637277
CNN,,8.0,16.0,16.0,0.0001,20,-49.948564715840604,33.150953269267305,100.3881781300401,32.823897811028445
CNN,,8.0,32.0,16.0,0.0001,20,-50.104861800300206,33.20176362729369,100.54204276346326,32.874856517891644
CNN,,8.0,32.0,16.0,0.0001,30,-50.15281979413503,33.21733862871166,100.5892071995512,32.88820126994586
CNN,,8.0,16.0,16.0,0.0001,30,-50.213878750584705,33.23715778191682,100.649223835157,32.91094897872166
